1_Ciliated	2_Ciliated	3_Ciliated	4_Ciliated	1_Secretory	2_Secretory	3_Secretory	Early_Secretory	1_Transitional	2_Transitional
SCGB2A1	0.850152192616803	1.47824523826231	0.211890510911471	1.54399871835274	-0.443043503849188	-0.25708259299622	-1.06359965220509	-0.615468784582326	-0.385048467956783	-1.32004365855372
AGR3	1.17365013962817	0.884590950799161	0.757584673813697	1.29180053949071	-0.788692225755803	-0.743103320391296	-0.957136371815242	-0.237713669023673	0.174654532163056	-1.55563524890878
C5orf49	0.790511501618665	1.12298342525227	1.00631043598883	1.32222437182519	-0.885111966559115	-1.01542007042707	-0.944720376343525	-0.224251506531755	0.0876684599181581	-1.26019427474165
CAPSL	1.01076342712803	0.790298424026721	1.30558863116032	1.10324061256466	-0.78360695778066	-1.00466957070915	-1.09135620410314	-0.261289217184613	0.164802716730436	-1.23377186183261
ODF3B	0.623191023966131	1.15767928687252	1.30215960743037	1.1389417198435	-0.828367879617972	-0.90396715209216	-0.95100893045805	-0.157840256810192	-0.0223236178003953	-1.35846380133375
CETN2	0.985173467004587	0.895666826029673	1.2047041619203	1.11633603763103	-0.69796735225372	-0.97968890640738	-1.06462364791894	-0.129221275410983	0.0585751293849881	-1.38895443997956
C9orf116	0.985735365307607	0.874183949373621	1.3410651760621	1.08281987629558	-0.817876712459443	-0.938537207462027	-0.979367928722864	-0.34378370345291	0.0837941360757768	-1.28803295101744
AL357093.2	1.10877190905924	0.472369175825219	1.3924548404605	0.962470535182178	-0.774771403353149	-1.00227218580526	-1.13314657936393	0.0274437996084271	0.260066081744699	-1.31338617335792
MORN2	0.994479046033782	0.802785302086731	1.25694701728499	1.14796448725038	-0.784855337888593	-0.932167751564605	-1.11023670079974	-0.158662686707272	0.0941691124147446	-1.31042248811043
AK1	0.961654482294927	0.937135206531472	1.30264985323423	1.08373079401054	-0.791694357913181	-0.848456879777357	-1.10599396568355	-0.450880834743213	0.148901504309536	-1.23704580226341
PSENEN	1.15459401561406	1.02432552798168	0.903845571569615	1.17801354091214	-0.822019024213266	-0.911176043885622	-1.01030423619375	-0.341442453250875	0.146406508897065	-1.32224340743105
ZMYND10	1.00010816998308	0.995302386648241	1.23405412845489	1.08746516715775	-0.990701611812745	-0.939205122603595	-0.937073511497388	-0.333407599090943	0.0849592660768457	-1.20150127331613
CFAP126	0.9729964008331	0.798572106308375	1.40981337611028	1.11247778866289	-0.784964398067299	-1.07767286531348	-1.18234983617956	-0.340862806748309	0.0391749236784146	-0.947184689284406
FOXJ1	0.879056790164192	1.44103783762794	0.878616509968551	1.01968949436171	-1.05001503319299	-0.769372244610634	-0.935639346329629	-0.272388769305625	0.106515466636036	-1.29750070531955
TFF3	0.733996887675408	1.05969936639943	0.94359214954467	1.2082858881201	-0.956182836620266	-1.05571365861087	-1.20923003524027	0.153191707319719	0.298851414615858	-1.17649088320378
CD24	0.904950351332689	1.44109008045373	0.560848390257739	0.938956457177376	0.079006005753333	0.19142387405695	-0.638017561572252	-1.20028394713911	-0.679139508436903	-1.59883414188355
MORN5	0.948013220279646	0.845629458623295	1.32232176949273	1.10609199124872	-0.856508923690203	-1.0006003701091	-0.959759621923428	-0.217595466466954	0.115331954895769	-1.30292401235047
TMEM190	1.06899475601079	1.00958349450169	0.69261489282295	1.14460402247046	-0.946577505515849	-0.828481891528844	-0.88519495313582	0.00575129821907923	0.340623193676961	-1.60191730752141
CCDC146	1.27180946493566	1.11047555654943	0.734662375362816	1.3202291534887	-0.775405102940212	-0.917942105653129	-0.859407592394972	-0.507094099612825	-0.19953268006948	-1.17779496966598
ROPN1L	0.87607615144391	0.915744549835963	1.40348386742997	1.1703896114855	-0.994411220940198	-0.978271832383474	-0.891694159150669	-0.202415467695409	-0.186422033446123	-1.11247946657947
DYNLRB2	1.12778874098573	0.803933630926925	1.29848832265164	1.08960077121425	-0.808509279418203	-0.926987011665819	-0.983963876257365	-0.419544339992544	0.0631003210037495	-1.24390727944837
